S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,MSx,MSy,MSz,MEx,MEy,MEz,MWx,MWy,MWz,session_time_stamp
35,0,77,35,136,3,167,7,7,5,0,0,0,3,0,2,5,0,0,0,1,3,3,0,2,10,2,1,3,0,0,0,-0.207058191299438,-0.311056226491928,0.731194913387299,0.1561119556427,-0.223162114620209,0.674978673458099,0.401193082332611,-0.349284172058105,0.70229172706604,02_Jan_2025_10_24
37,1,81,34,141,1,164,7,5,2,0,11,0,2,0,0,6,1,1,3,0,3,1,1,2,3,3,0,2,0,0,0,-0.207058191299438,-0.311056226491928,0.731194913387299,0.1561119556427,-0.223162114620209,0.674978673458099,0.401193082332611,-0.349284172058105,0.70229172706604,02_Jan_2025_10_24
34,0,81,35,137,0,167,6,7,0,0,2,1,2,0,1,5,15,2,0,0,9,1,5,0,0,0,0,0,0,0,0,-0.207058191299438,-0.311056226491928,0.731194913387299,0.1561119556427,-0.223162114620209,0.674978673458099,0.401193082332611,-0.349284172058105,0.70229172706604,02_Jan_2025_10_24
35,0,79,35,141,0,166,6,5,0,3,0,0,0,0,3,3,0,10,0,0,0,0,1,1,0,0,0,0,0,0,3,-0.207058191299438,-0.311056226491928,0.731194913387299,0.1561119556427,-0.223162114620209,0.674978673458099,0.401193082332611,-0.349284172058105,0.70229172706604,02_Jan_2025_10_24
34,0,75,37,141,1,165,7,5,5,0,0,0,0,0,1,2,1,0,3,4,1,0,3,0,0,0,0,0,0,0,0,-0.207058191299438,-0.311056226491928,0.731194913387299,0.1561119556427,-0.223162114620209,0.674978673458099,0.401193082332611,-0.349284172058105,0.70229172706604,02_Jan_2025_10_24
35,0,76,38,140,13,166,6,1,5,1,2,0,0,0,0,2,2,0,1,2,2,0,0,3,6,1,8,0,5,0,0,-0.207058191299438,-0.311056226491928,0.731194913387299,0.1561119556427,-0.223162114620209,0.674978673458099,0.401193082332611,-0.349284172058105,0.70229172706604,02_Jan_2025_10_24
40,0,73,32,139,9,161,9,7,4,1,1,2,2,0,3,3,0,0,2,0,3,0,0,0,0,0,0,1,0,0,0,-0.207058191299438,-0.311056226491928,0.731194913387299,0.1561119556427,-0.223162114620209,0.674978673458099,0.401193082332611,-0.349284172058105,0.70229172706604,02_Jan_2025_10_24
36,2,72,38,136,2,160,7,4,3,1,0,2,0,0,0,2,1,1,7,2,0,1,0,0,1,0,1,1,1,2,2,-0.207058191299438,-0.311056226491928,0.731194913387299,0.1561119556427,-0.223162114620209,0.674978673458099,0.401193082332611,-0.349284172058105,0.70229172706604,02_Jan_2025_10_24
38,1,79,38,145,0,163,9,5,5,3,0,4,2,0,1,5,6,0,0,1,1,3,0,0,0,3,0,0,2,3,3,-0.207058191299438,-0.311056226491928,0.731194913387299,0.1561119556427,-0.223162114620209,0.674978673458099,0.401193082332611,-0.349284172058105,0.70229172706604,02_Jan_2025_10_24
36,1,74,35,139,0,167,6,5,7,1,0,2,0,0,0,4,1,3,1,1,2,1,1,1,1,1,1,0,1,1,3,-0.207058191299438,-0.311056226491928,0.731194913387299,0.1561119556427,-0.223162114620209,0.674978673458099,0.401193082332611,-0.349284172058105,0.70229172706604,02_Jan_2025_10_24
