,MSx,MSy,MSz,MEx,MEy,MEz,MWx,MWy,MWz
179,-0.16907154,-0.3276148,0.57363045,0.02561975,-0.10642691,0.35301661,0.1933335,-0.03854658,0.31590554
180,-0.16903447,-0.3277883,0.57376564,0.024359075,-0.10448559,0.35364056,0.1904492,-0.03218258,0.31581476
181,-0.16906738,-0.3278309,0.5738146,0.023495143,-0.10320045,0.35403654,0.1884475,-0.027988179,0.31578988
182,-0.16911033,-0.32787302,0.5739034,0.022277823,-0.10124855,0.35468793,0.18576066,-0.021665996,0.3159162
183,-0.169122,-0.32788694,0.5739696,0.021432621,-0.09993092,0.35511327,0.18364601,-0.017717822,0.31601655
184,-0.16905944,-0.3280551,0.57410425,0.020095749,-0.09795182,0.35575092,0.1803184,-0.012171707,0.3162105
185,-0.1689823,-0.32823431,0.57420576,0.01918144,-0.09662384,0.35619774,0.17813231,-0.008682615,0.31629005
186,-0.16889173,-0.328475,0.5743677,0.017698245,-0.0946737,0.35679528,0.17459261,-0.0035726414,0.3166469
187,-0.16884696,-0.3285578,0.57449454,0.016641704,-0.09340917,0.35716292,0.17210774,-0.00018402806,0.3170415
188,-0.16879618,-0.32859215,0.5746892,0.0149482805,-0.09157053,0.35767934,0.1683666,0.0045578196,0.31709838
189,-0.16875318,-0.32875076,0.5748014,0.013780789,-0.09035768,0.35804236,0.16585678,0.0079648355,0.31730667
190,-0.1687122,-0.32885584,0.57492226,0.011948464,-0.08854678,0.35855833,0.16219507,0.013793633,0.31834522
191,-0.16872697,-0.32886314,0.57498604,0.010661343,-0.08733598,0.35887823,0.15948965,0.017042482,0.31849912
192,-0.16867805,-0.32887894,0.57512456,0.008602275,-0.08547102,0.35931277,0.15516421,0.02105918,0.31834096
193,-0.16859716,-0.32894954,0.57522583,0.007137617,-0.08422041,0.35955462,0.15234256,0.023484329,0.31797242
194,-0.1685262,-0.32888198,0.57537663,0.0048140455,-0.08233235,0.35987684,0.14831614,0.027580755,0.31836608
195,-0.16845416,-0.3289189,0.57548434,0.0032089818,-0.08109495,0.36004734,0.14561728,0.030505361,0.3188692
196,-0.16834992,-0.32897466,0.57563144,0.0007256921,-0.079258114,0.3602693,0.14148766,0.035098165,0.31910592
197,-0.16828236,-0.32902923,0.57571936,-0.000936525,-0.0780612,0.36041328,0.13837107,0.037796535,0.31894335
198,-0.16821301,-0.32909533,0.5757983,-0.0026040543,-0.076897964,0.3605413,0.13540933,0.04047271,0.31892914
199,-0.16811158,-0.32918778,0.57590246,-0.0051837284,-0.075209044,0.36067316,0.13114476,0.044546746,0.3188952
200,-0.16805278,-0.3292482,0.5759592,-0.0068770032,-0.074104644,0.36076465,0.12826243,0.047069468,0.31884027
201,-0.1679812,-0.3293297,0.576034,-0.009420859,-0.07247421,0.36087486,0.12391594,0.050816275,0.31892154
202,-0.16794509,-0.32938978,0.5760776,-0.011119677,-0.071393855,0.36092934,0.121073544,0.053047456,0.31884718
203,-0.16791032,-0.32943112,0.5761305,-0.013680218,-0.06982135,0.36097357,0.11677881,0.05633194,0.31891578
204,-0.16789354,-0.3294557,0.57616276,-0.015399452,-0.06880317,0.3609766,0.114012375,0.058501504,0.31884927
205,-0.16787812,-0.32945767,0.57621473,-0.017996207,-0.067354344,0.36092746,0.10965883,0.061643295,0.31871554
206,-0.16787471,-0.32944787,0.5762327,-0.018863134,-0.06688896,0.36090294,0.10814737,0.06277106,0.31874138
