S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,MSx,MSy,MSz,MEx,MEy,MEz,MWx,MWy,MWz,session_time_stamp
232,5,172,11,230,11,142,79,55,2,2,3,0,0,44,0,0,0,0,0,34,16,1,105,1,1,0,8,12,11,3,0,-0.17899252474308014,-0.3175678849220276,0.5669626593589783,0.08828727155923843,-0.21013259887695312,0.3629313111305237,0.32008153200149536,-0.25876009464263916,0.2915976643562317,13_Jun_2024_14_19
237,2,176,12,232,7,140,75,56,4,0,11,0,0,39,0,3,8,0,0,31,16,5,105,0,1,0,3,0,10,4,1,-0.17878879606723785,-0.31711915135383606,0.5667469501495361,0.08731066435575485,-0.21017777919769287,0.35972872376441956,0.31812620162963867,-0.26039019227027893,0.28642210364341736,13_Jun_2024_14_19
235,4,178,12,231,12,144,77,58,1,0,1,3,0,45,0,4,1,0,0,30,14,2,101,1,0,8,7,0,11,0,1,-0.17866012454032898,-0.3168155550956726,0.5666154623031616,0.08666161447763443,-0.2102651745080948,0.3576129674911499,0.31678083539009094,-0.26151299476623535,0.2829560339450836,13_Jun_2024_14_19
233,3,174,14,233,0,144,71,59,1,0,1,0,4,39,0,4,12,2,0,28,14,3,104,2,0,0,7,0,10,0,1,-0.17844648659229279,-0.31638234853744507,0.5664523839950562,0.08567295968532562,-0.210476815700531,0.35447782278060913,0.3147101402282715,-0.26323166489601135,0.2777774930000305,13_Jun_2024_14_19
233,0,185,12,238,8,151,71,58,9,0,1,0,0,38,0,4,0,12,0,32,15,5,107,1,1,0,7,0,16,1,0,-0.17831334471702576,-0.3160777986049652,0.5663418173789978,0.08500400185585022,-0.2106693834066391,0.3523939847946167,0.31327882409095764,-0.26442858576774597,0.2743529677391052,13_Jun_2024_14_19
234,4,183,11,243,0,152,72,58,2,0,0,0,1,39,0,3,0,0,0,32,20,1,108,1,0,0,9,0,10,0,1,-0.17814035713672638,-0.3156067132949829,0.5661807060241699,0.08396242558956146,-0.21100597083568573,0.34925657510757446,0.3110489249229431,-0.2663246989250183,0.2693749964237213,13_Jun_2024_14_19
231,3,184,13,237,4,160,74,59,2,8,0,1,1,42,0,4,2,0,3,32,15,3,101,1,2,0,11,0,10,0,1,-0.17796972393989563,-0.3151375651359558,0.5660431385040283,0.08286174386739731,-0.21135061979293823,0.3460991382598877,0.3086731433868408,-0.26817500591278076,0.26452261209487915,13_Jun_2024_14_19
235,3,184,15,239,1,158,68,59,0,0,0,0,0,48,2,4,0,0,0,35,17,2,108,2,1,1,6,0,11,0,1,-0.17783436179161072,-0.3148697018623352,0.5659543871879578,0.08208295702934265,-0.2115531712770462,0.3439861536026001,0.30693885684013367,-0.2692672908306122,0.2613133192062378,13_Jun_2024_14_19
231,4,179,12,242,8,154,69,57,0,0,1,1,0,48,0,4,0,0,0,30,14,3,108,1,0,2,7,0,11,0,1,-0.1776275783777237,-0.3144277036190033,0.5657995343208313,0.08084076642990112,-0.2117922455072403,0.34079509973526,0.30421948432922363,-0.271048903465271,0.2565024197101593,13_Jun_2024_14_19
233,3,187,13,245,0,163,70,60,2,0,0,0,0,38,0,4,0,0,0,30,13,1,107,0,1,0,6,0,10,1,0,-0.17738603055477142,-0.31400319933891296,0.5656691789627075,0.07949982583522797,-0.21196037530899048,0.3375994861125946,0.3013456165790558,-0.2729560434818268,0.251853883266449,13_Jun_2024_14_19
224,4,181,11,251,0,151,67,64,2,4,11,1,0,41,0,2,0,0,0,30,15,4,110,1,2,0,5,0,10,3,0,-0.17722846567630768,-0.3137023150920868,0.565581738948822,0.07855378091335297,-0.21204085648059845,0.3354777693748474,0.2992658019065857,-0.2744642496109009,0.24872000515460968,13_Jun_2024_14_19
220,2,185,10,250,0,161,70,57,3,0,1,1,0,35,0,6,0,1,0,31,15,0,111,0,2,0,4,0,11,0,0,-0.17700934410095215,-0.31324848532676697,0.5654579997062683,0.07710035890340805,-0.21209962666034698,0.33237940073013306,0.29619133472442627,-0.2768813669681549,0.24434255063533783,13_Jun_2024_14_19
225,6,188,10,249,0,163,64,57,8,2,2,0,0,37,0,5,0,1,2,30,16,2,109,1,0,5,6,0,9,0,0,-0.1768627166748047,-0.31295597553253174,0.5653828978538513,0.07610855996608734,-0.21211083233356476,0.330349862575531,0.29392796754837036,-0.27864962816238403,0.24134205281734467,13_Jun_2024_14_19
219,6,182,12,247,6,153,63,61,2,0,0,1,0,37,1,9,0,1,0,28,11,3,110,2,1,0,7,0,11,1,0,-0.1766875684261322,-0.3124706745147705,0.5652632713317871,0.07458290457725525,-0.21208207309246063,0.3273540735244751,0.2906571924686432,-0.28142398595809937,0.23729607462882996,13_Jun_2024_14_19
218,4,193,13,244,0,156,65,57,2,1,3,1,0,40,0,5,0,0,0,32,7,4,110,2,1,0,6,0,7,0,0,-0.17655061185359955,-0.3119438588619232,0.56513911485672,0.07300195842981339,-0.21201632916927338,0.32441118359565735,0.2872025668621063,-0.2843877673149109,0.2331155389547348,13_Jun_2024_14_19
216,8,185,14,251,0,148,70,51,1,4,1,1,1,39,1,6,0,2,0,34,11,0,108,0,1,0,6,0,15,0,2,-0.1764484941959381,-0.31162598729133606,0.5650559067726135,0.07192264497280121,-0.21196629106998444,0.3224759101867676,0.2849928140640259,-0.28636062145233154,0.23051974177360535,13_Jun_2024_14_19
214,3,191,11,250,0,151,65,56,2,0,0,0,0,36,0,6,0,4,1,30,11,2,109,1,0,0,6,0,10,7,0,-0.17632654309272766,-0.31122130155563354,0.5649269223213196,0.07026450335979462,-0.21187357604503632,0.319614976644516,0.2815801203250885,-0.28910258412361145,0.226643368601799,13_Jun_2024_14_19
225,6,190,12,250,1,158,69,56,8,1,0,0,0,36,1,5,1,0,0,32,11,4,107,1,0,0,7,0,11,0,0,-0.17625249922275543,-0.3109263777732849,0.5648411512374878,0.06914153695106506,-0.2118087112903595,0.3177473843097687,0.2791789472103119,-0.29116442799568176,0.22374169528484344,13_Jun_2024_14_19
221,10,191,11,257,0,155,63,55,2,0,1,0,0,35,0,9,0,1,0,30,13,0,106,0,1,0,6,0,8,0,1,-0.17612531781196594,-0.31047454476356506,0.5647066235542297,0.0674353688955307,-0.21169120073318481,0.314995676279068,0.2757929563522339,-0.29364848136901855,0.21997033059597015,13_Jun_2024_14_19
214,3,196,14,257,5,153,61,56,4,0,3,0,0,42,0,6,6,0,1,28,13,3,106,2,1,0,11,0,13,0,1,-0.1760440319776535,-0.3101242482662201,0.5646094083786011,0.06629837304353714,-0.21161502599716187,0.3132001757621765,0.2736707329750061,-0.2947535514831543,0.217903271317482,13_Jun_2024_14_19
