S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,MSx,MSy,MSz,MEx,MEy,MEz,MWx,MWy,MWz,session_time_stamp
50,1,76,15,96,0,31,13,1,13,0,0,8,2,0,0,2,1,3,1,1,0,3,0,5,0,0,2,0,1,0,0,-0.157463252544403,-0.280764430761337,0.71071469783783,-0.0407894700765609,-0.119704857468605,0.368700802326202,0.117527715861797,-0.160059332847595,0.191664442420006,28_Oct_2024_16_02
40,11,41,11,78,12,28,12,1,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,2,1,8,1,0,-0.156652688980103,-0.272332936525345,0.706131815910339,-0.0035200603306293,-0.123499721288681,0.364250719547272,0.142897024750709,-0.12494957447052,0.172933802008629,28_Oct_2024_16_02
33,2,40,10,75,1,27,15,3,1,0,0,7,9,0,4,0,0,4,3,1,0,1,0,2,0,1,7,3,10,0,1,-0.156409159302712,-0.271435439586639,0.705739140510559,-0.0002671182155609,-0.122990593314171,0.364402741193771,0.145242273807526,-0.120926685631275,0.17217406630516,28_Oct_2024_16_02
40,4,43,15,68,2,26,14,1,2,1,0,1,3,0,1,7,0,0,0,1,4,1,0,0,0,0,1,0,0,0,0,-0.156290024518967,-0.270824998617172,0.705482602119446,0.0018312353640794,-0.122588001191616,0.364525139331818,0.14674785733223,-0.118141047656536,0.17160926759243,28_Oct_2024_16_02
40,4,41,15,71,3,27,14,2,1,0,0,0,1,0,8,3,0,0,0,0,6,0,1,0,3,0,2,13,1,0,0,-0.155969381332397,-0.269946664571762,0.705118298530579,0.0049125459045171,-0.121779710054398,0.364907681941986,0.148526102304459,-0.113823905587196,0.171551406383514,28_Oct_2024_16_02
40,0,36,13,71,0,24,16,1,0,1,0,0,0,0,1,1,0,5,2,0,0,1,0,0,0,0,1,0,1,0,0,-0.155807763338089,-0.269384503364563,0.704853951931,0.006857881322503,-0.121207185089588,0.365180552005768,0.150263369083405,-0.110609956085682,0.17123232781887,28_Oct_2024_16_02
37,4,33,8,67,1,25,13,0,2,0,0,0,1,0,1,1,0,0,1,1,6,0,0,0,3,0,2,0,4,7,4,-0.155594080686569,-0.268687039613724,0.704692423343658,0.0087328013032674,-0.120592020452022,0.365505784749985,0.151755049824715,-0.107325032353401,0.170819625258446,28_Oct_2024_16_02
30,2,31,11,69,0,22,14,1,0,0,1,0,1,0,0,2,0,13,11,0,3,0,0,0,0,0,1,0,0,1,12,-0.15529491007328,-0.267682373523712,0.704465210437775,0.0114270560443401,-0.119580112397671,0.366052746772766,0.153519541025162,-0.102544508874416,0.170980870723724,28_Oct_2024_16_02
33,0,28,15,69,0,23,17,2,3,0,1,1,3,0,1,4,0,0,1,0,6,0,1,0,2,1,5,0,2,0,1,-0.15510381758213,-0.2670558989048,0.704213678836823,0.0131267346441745,-0.118855692446232,0.366441130638122,0.154553800821304,-0.0993984192609787,0.170674160122871,28_Oct_2024_16_02
34,0,32,14,68,0,23,17,4,1,1,0,0,1,0,0,11,0,0,14,0,2,2,0,0,0,1,1,0,1,0,0,-0.154824957251549,-0.266131460666656,0.703941524028778,0.0155421132221817,-0.117650017142296,0.367061525583267,0.155933678150177,-0.0945718139410018,0.170508131384849,28_Oct_2024_16_02
30,1,27,11,70,2,25,15,0,0,1,0,1,2,0,3,5,1,13,0,0,5,1,0,0,0,0,8,0,1,0,0,-0.154640600085258,-0.265533030033112,0.703819036483765,0.017037933692336,-0.116784818470478,0.367494225502014,0.156414806842804,-0.0911789461970329,0.170498549938202,28_Oct_2024_16_02
34,6,33,14,69,0,26,22,0,0,0,0,0,4,0,0,3,2,7,0,0,4,0,0,0,3,0,4,0,2,13,0,-0.154480531811714,-0.264941424131393,0.703642189502716,0.018450217321515,-0.115891396999359,0.367924958467484,0.157079055905342,-0.087944895029068,0.170444071292877,28_Oct_2024_16_02
32,0,31,10,68,2,23,18,0,1,1,0,0,1,0,0,15,0,0,0,0,7,0,1,1,5,2,2,0,2,2,0,-0.154194608330727,-0.264085173606872,0.703309953212738,0.0204231608659029,-0.114523828029633,0.368510663509369,0.157325983047485,-0.0825566947460174,0.17008313536644,28_Oct_2024_16_02
33,0,29,13,66,0,23,17,0,5,0,0,0,0,0,1,4,0,0,0,1,5,1,0,1,0,0,1,0,3,8,1,-0.154024958610535,-0.263538628816605,0.703190207481384,0.0216437559574842,-0.113561041653156,0.368907123804092,0.157910317182541,-0.0790595412254333,0.170254424214363,28_Oct_2024_16_02
39,1,30,12,66,0,24,16,6,0,0,0,1,0,0,0,9,0,0,0,0,11,0,0,1,0,1,1,0,1,0,1,-0.153828501701355,-0.263007760047913,0.703124344348908,0.0227845795452594,-0.112552970647812,0.369347095489502,0.158245295286179,-0.0758950561285018,0.170159935951233,28_Oct_2024_16_02
32,1,30,17,65,13,19,13,0,2,0,0,0,3,0,2,0,0,14,0,1,2,1,0,0,0,0,3,8,2,0,4,-0.153616845607758,-0.262244880199432,0.702855825424194,0.0243540070950984,-0.111033365130425,0.370024383068085,0.158850237727165,-0.0713903680443763,0.170430272817612,28_Oct_2024_16_02
36,1,31,15,66,0,21,19,0,0,0,0,0,1,0,0,2,0,0,0,5,3,0,0,0,0,0,1,0,0,0,0,-0.153432920575142,-0.261742681264877,0.702649116516113,0.025321714580059,-0.109987631440163,0.370506286621094,0.159323170781136,-0.0685343965888023,0.170640543103218,28_Oct_2024_16_02
37,1,28,12,63,0,27,13,12,0,0,3,0,1,0,0,0,0,0,1,0,5,1,0,3,0,2,2,1,1,0,0,-0.15320760011673,-0.261058837175369,0.702459096908569,0.0266428310424089,-0.108339071273804,0.371270567178726,0.159596174955368,-0.0643625035881996,0.170775711536407,28_Oct_2024_16_02
33,1,27,13,62,0,22,16,0,2,0,1,1,7,0,0,9,0,0,0,1,2,1,0,0,2,1,2,0,1,0,0,-0.15309065580368,-0.260623812675476,0.702313482761383,0.0274141319096088,-0.107359752058983,0.371696174144745,0.159685388207436,-0.0617671012878418,0.170814216136932,28_Oct_2024_16_02
36,1,26,14,64,1,23,17,0,4,0,0,3,6,0,0,9,0,1,0,0,3,0,6,0,2,0,0,1,12,0,0,-0.152984157204628,-0.260202169418335,0.702179789543152,0.0281140301376581,-0.106455646455288,0.372068375349045,0.159697920084,-0.0591978468000888,0.170843124389648,28_Oct_2024_16_02
33,2,29,15,62,1,27,17,0,2,6,0,0,3,0,0,2,0,1,0,2,2,8,0,0,0,0,0,0,2,0,0,-0.152800410985947,-0.259589940309524,0.701976776123047,0.0290753617882728,-0.105082929134369,0.37265944480896,0.159765332937241,-0.0557786785066127,0.170847788453102,28_Oct_2024_16_02
33,1,29,12,63,1,27,16,1,4,0,0,0,7,0,0,9,0,1,1,0,2,0,0,6,13,0,1,0,8,4,0,-0.152653262019157,-0.259193599224091,0.701869428157806,0.02963762357831,-0.104207441210747,0.373000502586365,0.159830808639526,-0.0536683090031147,0.170911163091659,28_Oct_2024_16_02
33,2,31,16,61,12,23,11,0,7,0,0,6,6,0,7,1,0,0,1,1,4,0,0,4,1,1,2,0,1,0,0,-0.152474418282509,-0.258775621652603,0.701817393302918,0.0301623009145259,-0.103337459266186,0.373341768980026,0.159851863980293,-0.0517305061221122,0.170981675386429,28_Oct_2024_16_02
35,1,26,14,63,0,24,17,1,4,0,1,1,9,0,0,8,0,0,14,0,1,0,0,0,0,0,1,0,3,0,3,-0.152253359556198,-0.258184373378754,0.701629638671875,0.0308924950659275,-0.10200273245573,0.373932421207428,0.15981425344944,-0.0490941479802131,0.170948192477226,28_Oct_2024_16_02
37,1,28,12,62,2,23,18,4,2,1,8,0,8,0,0,0,0,0,1,0,2,0,0,0,9,6,2,0,1,0,2,-0.152082860469818,-0.257815837860107,0.701442241668701,0.0313147753477096,-0.10117294639349,0.374283879995346,0.159795194864273,-0.0475597344338893,0.171036750078201,28_Oct_2024_16_02
37,1,33,10,65,1,27,19,2,9,0,1,7,5,0,0,1,3,0,0,10,5,0,0,10,0,1,1,0,2,0,2,-0.151934549212456,-0.257471948862076,0.701307773590088,0.031699426472187,-0.100368238985538,0.374624311923981,0.15974885225296,-0.0461454279720783,0.171013221144676,28_Oct_2024_16_02
