S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,MSx,MSy,MSz,MEx,MEy,MEz,MWx,MWy,MWz,session_time_stamp
22,0,6,10,36,7,35,3,8,12,0,7,0,0,0,1,0,0,2,0,5,5,0,0,0,0,0,2,0,3,0,3,-0.0458809360861778,-0.251620054244995,0.67358672618866,0.210177019238472,-0.194113194942474,0.381131857633591,0.379151552915573,-0.215055733919144,0.206275880336761,28_Oct_2024_16_04
21,1,6,6,40,9,31,9,0,8,1,0,1,0,0,0,0,2,0,3,0,8,13,0,0,0,0,2,0,1,6,1,-0.0440180338919162,-0.251334846019745,0.673449099063873,0.211981326341629,-0.193827524781227,0.381611526012421,0.381565898656845,-0.214061930775642,0.207114666700363,28_Oct_2024_16_04
27,0,2,12,38,5,33,2,2,10,0,5,0,0,0,0,1,1,0,0,2,7,0,0,0,0,1,11,0,1,0,0,-0.0429285019636154,-0.25132167339325,0.673379898071289,0.213130742311478,-0.193684652447701,0.381911337375641,0.382898330688476,-0.213422060012817,0.20759305357933,28_Oct_2024_16_04
21,0,3,2,36,2,28,10,0,7,0,1,0,2,0,0,0,0,1,15,2,6,1,0,0,0,0,2,0,1,0,0,-0.041936669498682,-0.251257061958313,0.673310995101929,0.214237660169601,-0.193524420261383,0.382225930690765,0.384375214576721,-0.212799981236458,0.208122938871384,28_Oct_2024_16_04
19,0,6,2,38,3,37,3,0,3,0,1,0,0,0,0,0,0,12,11,0,7,0,3,1,1,0,2,0,0,0,0,-0.0404866188764572,-0.251141458749771,0.673189640045166,0.215830907225609,-0.193297550082207,0.382695138454437,0.386218100786209,-0.211936563253403,0.208734750747681,28_Oct_2024_16_04
16,3,5,3,43,2,37,4,2,10,0,1,0,1,0,0,0,0,2,0,3,7,0,0,0,0,0,4,0,2,0,0,-0.0395732261240482,-0.251136690378189,0.673107504844666,0.216840088367462,-0.193119496107101,0.383032828569412,0.387776613235474,-0.211331889033317,0.209328666329384,28_Oct_2024_16_04
17,0,1,8,44,3,36,1,1,10,0,0,0,1,0,0,1,4,1,0,3,8,0,0,0,0,0,2,1,0,0,0,-0.0387115031480789,-0.25116178393364,0.673059165477753,0.21783871948719,-0.192930117249489,0.383362531661987,0.389130473136902,-0.210767701268196,0.209864065051079,28_Oct_2024_16_04
18,0,0,8,43,3,38,8,0,8,0,0,0,0,0,1,1,6,0,1,6,7,1,3,1,0,0,2,0,2,0,0,-0.0374815985560417,-0.251101821660995,0.672966599464417,0.21928758919239,-0.192655339837074,0.383843779563904,0.39126455783844,-0.209921702742577,0.21071395277977,28_Oct_2024_16_04
18,2,0,8,43,0,38,3,0,4,0,0,1,0,0,5,4,1,1,1,6,7,1,1,0,0,0,2,0,2,1,4,-0.0366802513599395,-0.251055061817169,0.672876715660095,0.220230251550674,-0.192477121949196,0.384156346321106,0.392596989870071,-0.20920205116272,0.211407512426376,28_Oct_2024_16_04
17,1,0,18,44,3,33,2,0,4,0,6,0,0,0,0,6,0,1,0,5,9,0,0,0,0,0,2,0,1,0,0,-0.0359082892537117,-0.251014471054077,0.672812938690186,0.221159622073173,-0.19232502579689,0.38445970416069,0.393927693367004,-0.208664357662201,0.212088748812675,28_Oct_2024_16_04
21,0,0,10,46,5,33,2,0,12,1,0,0,0,0,1,0,14,0,0,6,7,0,2,9,2,1,3,0,1,0,0,-0.0352155566215515,-0.251015603542328,0.672763168811798,0.222072347998619,-0.192191287875175,0.384777218103409,0.396743088960648,-0.208914831280708,0.214467659592628,28_Oct_2024_16_04
